Date,Week,Month,Year,Market Name,Market Type,Commodity,Source,Latitude,Longitude,Location,Bid,Nearby Futures Month,Futures Price,Basis
01/05/2007,1,1,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.48,Mar,6.815,-0.335
01/12/2007,2,1,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.77,Mar,7.195,-0.425
01/19/2007,3,1,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.82,Mar,7.1775,-0.3575
01/26/2007,4,1,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.74,Mar,7.105,-0.365
02/02/2007,5,1,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7,Mar,7.3675,-0.3675
02/09/2007,6,2,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.15,Mar,7.4925,-0.3425
02/16/2007,7,2,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.33,Mar,7.67,-0.34
02/23/2007,8,2,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.44,Mar,7.825,-0.385
03/02/2007,9,2,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.08,May,7.535,-0.455
03/09/2007,10,3,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.14,May,7.5975,-0.4575
03/16/2007,11,3,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.08,May,7.535,-0.455
03/23/2007,12,3,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.24,May,7.695,-0.455
03/30/2007,13,3,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.17,May,7.6125,-0.4425
04/05/2007,14,4,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.2,May,7.605,-0.405
04/13/2007,15,4,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7,May,7.38,-0.38
04/20/2007,16,4,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.88,May,7.2325,-0.3525
04/27/2007,17,4,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.91,May,7.23,-0.32
05/04/2007,18,5,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.01,Jul,7.475,-0.465
05/11/2007,19,5,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.15,Jul,7.6175,-0.4675
05/18/2007,20,5,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.52,Jul,7.9225,-0.4025
05/25/2007,21,5,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.71,Jul,8.125,-0.415
06/01/2007,22,5,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.76,Jul,8.175,-0.415
06/08/2007,23,6,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.77,Jul,8.215,-0.445
06/15/2007,24,6,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.03,Jul,8.4725,-0.4425
06/22/2007,25,6,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.53,Jul,7.97,-0.44
06/29/2007,26,6,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.03,Jul,8.5,-0.47
07/06/2007,27,7,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.16,Aug,8.6925,-0.5325
07/13/2007,28,7,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.57,Aug,9.2175,-0.6475
07/20/2007,29,7,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.81,Aug,8.5025,-0.6925
07/27/2007,30,7,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.46,Aug,8.155,-0.695
08/03/2007,31,7,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.75,Aug,8.39,-0.64
08/10/2007,32,8,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.93,Nov,8.7175,-0.7875
08/17/2007,33,8,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.5,Nov,8.2775,-0.7775
08/24/2007,34,8,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.89,Nov,8.65,-0.76
08/31/2007,35,8,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.13,Nov,8.825,-0.695
09/07/2007,36,9,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.38,Nov,9.0525,-0.6725
09/14/2007,37,9,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.91,Nov,9.5475,-0.6375
09/21/2007,38,9,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.15,Nov,9.79,-0.64
09/28/2007,39,9,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.33,Nov,9.9125,-0.5825
