Date,Week,Month,Year,Market Name,Market Type,Commodity,Source,Latitude,Longitude,Location,Bid
07/20/2000,29,7,2000,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.6
11/24/2000,47,11,2000,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.72
06/21/2001,25,6,2001,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.49
10/11/2001,41,10,2001,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.12
11/29/2002,48,11,2002,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.64
04/04/2003,13,4,2003,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.91
05/30/2003,21,5,2003,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.15
09/26/2003,38,9,2003,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.36
11/21/2003,46,11,2003,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.4
03/18/2005,11,3,2005,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.22
10/05/2007,40,10,2007,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.84
04/25/2008,17,4,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.86
05/16/2008,20,5,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.35
06/20/2008,25,6,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),14.94
03/20/2009,11,3,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.39
10/23/2009,42,10,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.94
02/19/2010,7,2,2010,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.29
05/14/2010,19,5,2010,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.26
04/05/2013,14,4,2013,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.81
02/21/2014,7,2,2014,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.64
12/15/2017,50,12,2017,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.31
12/28/2018,52,12,2018,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.35
10/07/2005,40,10,2005,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.25
10/25/2013,43,10,2013,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.83
10/29/2010,43,10,2010,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.02
02/28/2003,8,2,2003,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.7
08/27/2004,34,8,2004,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.12
09/13/2001,37,9,2001,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.55
06/14/2001,24,6,2001,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.51
04/22/2005,16,4,2005,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),6.2
12/01/2017,48,11,2017,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.56
04/28/2017,17,4,2017,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.16
09/30/2016,39,9,2016,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.23
04/24/2009,16,4,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.23
04/25/2003,16,4,2003,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.93
08/23/2002,34,8,2002,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.86
08/02/2013,31,7,2013,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.18
03/07/2008,10,3,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.31
09/02/2016,35,8,2016,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.65
12/07/2012,49,12,2012,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),14.64
02/16/2001,7,2,2001,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),4.42
06/13/2008,24,6,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),15.16
12/02/2011,48,11,2011,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.17
10/24/2008,43,10,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.36
06/18/2010,24,6,2010,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.63
02/18/2005,7,2,2005,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),5.43
01/12/2018,2,1,2018,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.22
