"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
1980-01-22,ZSF80,"Soybean January 1980 Futures",648.5,842,1979-06-22,604,1980-01-10,-6.25%,1980-01-22
1980-03-20,ZSH80,"Soybean March 1980 Futures",616,856,1979-06-22,608,1980-03-17,-15.67%,1980-03-20
1980-05-20,ZSK80,"Soybean May 1980 Futures",612,859,1979-06-22,569.5,1980-04-02,-17.85%,1980-05-20
1980-07-22,ZSN80,"Soybean July 1980 Futures",757,816,1980-07-17,595,1980-04-02,-5.23%,1980-07-22
1980-08-20,ZSQ80,"Soybean August 1980 Futures",741.75,819.5,1980-07-17,606,1980-04-02,-1.36%,1980-08-20
1980-09-19,ZSU80,"Soybean September 1980 Futures",851,852,1980-09-19,615,1980-04-02,+12.20%,1980-09-19
1980-11-18,ZSX80,"Soybean November 1980 Futures",922.5,930.5,1980-11-05,631,1980-04-02,+20.43%,1980-11-18
1981-01-21,ZSF81,"Soybean January 1981 Futures",762.5,958,1980-11-05,649,1980-04-02,+1.80%,1981-01-21
1981-03-20,ZSH81,"Soybean March 1981 Futures",740,988,1980-11-20,667,1980-06-03,+1.65%,1981-03-20
1981-05-19,ZSK81,"Soybean May 1981 Futures",741,1006,1980-11-20,680,1980-06-03,+7.24%,1981-05-19
1981-07-22,ZSN81,"Soybean July 1981 Futures",723,1024,1980-11-28,673,1981-06-29,-8.60%,1981-07-22
1981-08-20,ZSQ81,"Soybean August 1981 Futures",691.5,1003,1980-11-28,677.5,1981-08-19,-11.91%,1981-08-20
1981-09-21,ZSU81,"Soybean September 1981 Futures",657.5,933,1980-11-28,650,1981-09-21,-23.81%,1981-09-21
1981-11-18,ZSX81,"Soybean November 1981 Futures",631,900,1980-11-28,625,1981-11-16,-26.46%,1981-11-18
1982-01-20,ZSF82,"Soybean January 1982 Futures",630,888,1981-04-09,596,1981-12-16,-27.25%,1982-01-20
1982-03-22,ZSH82,"Soybean March 1982 Futures",623,908,1981-04-09,591,1982-03-15,-26.88%,1982-03-22
1982-05-19,ZSK82,"Soybean May 1982 Futures",661,853.5,1981-07-13,605.5,1982-03-15,-20.55%,1982-05-19
1982-07-21,ZSN82,"Soybean July 1982 Futures",625.75,844,1981-07-28,602,1982-07-07,-23.50%,1982-07-21
1982-08-20,ZSQ82,"Soybean August 1982 Futures",573,777,1981-08-21,553.5,1982-08-17,-26.54%,1982-08-20
1982-09-21,ZSU82,"Soybean September 1982 Futures",537.25,760,1981-10-13,534,1982-09-10,-28.37%,1982-09-21
1982-11-18,ZSX82,"Soybean November 1982 Futures",564.75,713,1981-12-04,518,1982-10-04,-19.72%,1982-11-18
1983-01-20,ZSF83,"Soybean January 1983 Futures",581,720,1982-02-01,532.5,1982-10-04,-15.92%,1983-01-20
1983-03-22,ZSH83,"Soybean March 1983 Futures",603.25,721,1982-04-30,547.5,1982-10-04,-11.09%,1983-03-22
1983-05-19,ZSK83,"Soybean May 1983 Futures",621.5,723.5,1982-05-21,558.5,1982-10-04,-14.04%,1983-05-19
1983-07-20,ZSN83,"Soybean July 1983 Futures",692.5,694,1983-07-20,566.5,1982-10-04,+2.29%,1983-07-20
1983-08-22,ZSQ83,"Soybean August 1983 Futures",862,913,1983-08-17,566.5,1982-10-04,+39.48%,1983-08-22
1983-09-21,ZSU83,"Soybean September 1983 Futures",921,960,1983-09-13,567,1982-10-04,+52.11%,1983-09-21
1983-11-18,ZSX83,"Soybean November 1983 Futures",784.5,968.5,1983-09-13,580,1982-12-06,+31.08%,1983-11-18
1984-01-20,ZSF84,"Soybean January 1984 Futures",722,982,1983-09-13,609,1983-06-29,+14.88%,1984-01-20
1984-03-21,ZSH84,"Soybean March 1984 Futures",796,993.5,1983-09-13,621,1983-06-29,+17.40%,1984-03-21
1984-05-21,ZSK84,"Soybean May 1984 Futures",888,996,1983-09-13,630,1983-06-29,+31.95%,1984-05-21
1984-07-20,ZSN84,"Soybean July 1984 Futures",674.5,992.5,1983-09-13,649,1984-07-11,-12.80%,1984-07-20
1984-08-22,ZSQ84,"Soybean August 1984 Futures",636,956.75,1983-09-13,606,1984-07-30,-26.90%,1984-08-22
1984-09-19,ZSU84,"Soybean September 1984 Futures",586.5,855,1983-09-22,584.5,1984-09-19,-28.50%,1984-09-19
1984-11-20,ZSX84,"Soybean November 1984 Futures",604,771,1984-06-20,568.5,1984-09-21,-11.37%,1984-11-20
1985-01-22,ZSF85,"Soybean January 1985 Futures",592.75,779,1984-06-20,557.75,1985-01-07,-18.75%,1985-01-22
1985-03-20,ZSH85,"Soybean March 1985 Futures",597.75,790.5,1984-06-20,559,1985-02-25,-20.78%,1985-03-20
1985-05-21,ZSK85,"Soybean May 1985 Futures",568,797,1984-06-20,568,1985-05-21,-26.76%,1985-05-21
1985-07-22,ZSN85,"Soybean July 1985 Futures",557,705,1984-08-16,551,1985-07-02,-16.62%,1985-07-22
1985-08-21,ZSQ85,"Soybean August 1985 Futures",518,697,1984-08-27,510.5,1985-08-20,-21.22%,1985-08-21
1985-09-19,ZSU85,"Soybean September 1985 Futures",518.25,671,1984-10-24,500.5,1985-08-20,-17.21%,1985-09-19
1985-11-19,ZSX85,"Soybean November 1985 Futures",491,645,1984-11-21,488,1985-11-18,-23.31%,1985-11-19
1986-01-22,ZSF86,"Soybean January 1986 Futures",532.75,634.5,1985-02-01,478,1985-11-21,-14.90%,1986-01-22
1986-03-19,ZSH86,"Soybean March 1986 Futures",528,644,1985-04-24,485.25,1985-11-21,-17.44%,1986-03-19
1986-05-20,ZSK86,"Soybean May 1986 Futures",534.5,618,1985-07-12,489,1985-11-21,-12.38%,1986-05-20
